,purchAmt,purchTyCd,purchTyNm
BSGAR00043,30300,1,신용카드
BSGAR00043,700,7,쿠폰
BSGAS00217,29800,9,만나서 카드결제
BSGAS00215,14900,1,신용카드
BSGAS00212,14900,19,페이코
BSGAS00211,14900,1,신용카드
