orderNo,costPrice,orderDate,orderDt,orderId,orderPrice,orderProgressCode,orderTm,purchMethodCodeName,purchType,shopName,shopNo,shopOwnerNo
BSGAR00043,0,2018-07-04 20:27:02,2018-07-04,jh2flower,31000,1,20:27:02.0530000,바로결제,1,조장희의 마포 진불백 역삼점,777417,201806040151
BSGAS00217,0,2018-07-04 19:39:10,2018-07-04,AxcbABzmVt,29800,1,19:39:10.1270000,만나서결제,2,조장희의 마포 진불백 양재점,777418,201806040151
BSGAS00215,0,2018-07-04 17:24:10,2018-07-04,y32p5KbK9Z,14900,1,17:24:10.8470000,바로결제,1,조장희의 마포 진불백 양재점,777418,201806040151
BSGAS00212,0,2018-07-04 13:30:37,2018-07-04,TBiylV3yd4,14900,1,13:30:37.5400000,바로결제,1,조장희의 마포 진불백 양재점,777418,201806040151
BSGAS00211,0,2018-07-04 11:43:48,2018-07-04,vGK2NwuAcF,14900,1,11:43:48.5200000,바로결제,1,조장희의 마포 진불백 양재점,777418,201806040151
