,purchAmt,purchTyCd,purchTyNm
BSGAS00210,27000,2,휴대폰
BSGAS00209,28900,9,만나서 카드결제
BSGAS00205,14900,1,신용카드
BSGAS00204,15500,1,신용카드
BSGAS00203,16500,9,만나서 카드결제
BSGAS00202,17000,1,신용카드
BSGAS00198,14900,24,네이버페이
