orderNo,costPrice,orderDate,orderDt,orderId,orderPrice,orderProgressCode,orderTm,purchMethodCodeName,purchType,shopName,shopNo,shopOwnerNo
BSGAS00210,0,2018-07-03 21:53:34,2018-07-03,Uvcrm4wkjZ,27000,1,21:53:34.5300000,바로결제,1,조장희의 마포 진불백 양재점,777418,201806040151
BSGAS00209,0,2018-07-03 20:44:19,2018-07-03,mGl9xqlcZJ,28900,1,20:44:19.6700000,만나서결제,2,조장희의 마포 진불백 양재점,777418,201806040151
BSGAS00205,0,2018-07-03 20:06:17,2018-07-03,8HdXXbDubn,14900,1,20:06:17.8170000,바로결제,1,조장희의 마포 진불백 양재점,777418,201806040151
BSGAS00204,0,2018-07-03 19:41:35,2018-07-03,BEdWMXySxZ,15500,1,19:41:35.5430000,바로결제,1,조장희의 마포 진불백 양재점,777418,201806040151
BSGAS00203,0,2018-07-03 19:09:05,2018-07-03,aL1IbY3kB9,16500,1,19:09:05.3930000,만나서결제,2,조장희의 마포 진불백 양재점,777418,201806040151
BSGAS00202,0,2018-07-03 17:56:15,2018-07-03,GApG5ovsap,17000,1,17:56:15.8770000,바로결제,1,조장희의 마포 진불백 양재점,777418,201806040151
BSGAS00198,0,2018-07-03 15:33:21,2018-07-03,SB_255A134267,14900,1,15:33:21.5330000,바로결제,1,조장희의 마포 진불백 양재점,777418,201806040151
