,foodNm,foodOrdQty,foodPrice,foodPriceGrpNm,foodPriceNm,isDefPrice,ordFoodPrice
BSGAS00221,진 고추장불백 세트,1,14900,가격,250g,True,14900
BSGAS00219,진 간장불백 세트,1,14900,가격,250g,True,14900
BSGAR00046,진 고추장불백 세트,1,14900,가격,250g,True,14900
